query_id,doc_id,page_idx,page_type,query_zh,query_en,query_source,anchor_heading,ocr_text_clean_len,page_score
auto_00024,fr3_operating_manual,15,fact,哪一页介绍了“5 WORKING WITH FRANKA RESEARCH 3”相关内容？,Which page discusses '5 WORKING WITH FRANKA RESEARCH 3'?,fact_heading,5 WORKING WITH FRANKA RESEARCH 3,3430,16.56
auto_00025,fr3_operating_manual,16,fact,这页中关于力矩的参数是什么？,What specification about torque is given on this page?,fact_keyword,"can then be used, for example, to stop the movement of the robot.",1432,16.0
auto_00026,fr3_operating_manual,16,fact,哪一页提到了力矩相关参数？,Which page mentions torque related specifications?,fact_page_lookup,"can then be used, for example, to stop the movement of the robot.",1432,16.0
auto_00027,fr3_operating_manual,16,fact,"哪一页介绍了“can then be used, for example, to stop t”相关内容？","Which page discusses 'can then be used, for example, to stop t'?",fact_heading,"can then be used, for example, to stop the movement of the robot.",1432,16.0
auto_00028,fr3_operating_manual,27,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,Exiting the Assist Mode:,1614,15.68
auto_00029,fr3_operating_manual,27,layout,哪一页展示了“Exiting the Assist Mode:”的图示页面？,Which page visually presents 'Exiting the Assist Mode:'?,layout_heading,Exiting the Assist Mode:,1614,15.68
auto_00030,fr3_operating_manual,28,semantic,哪一页介绍了安装说明相关内容？,Which page describes installation related information?,semantic_keyword,WORKING WITH ERANKA RESEARCH 3,1801,15.14
auto_00031,fr3_operating_manual,28,semantic,这页主要讲的是哪方面的安装说明内容？,What installation topic is mainly explained on this page?,semantic_topic,WORKING WITH ERANKA RESEARCH 3,1801,15.14
auto_00032,fr3_operating_manual,30,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,Pose teaching,961,16.119999999999997
auto_00033,fr3_operating_manual,30,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,Pose teaching,961,16.119999999999997
auto_00034,fr3_operating_manual,30,fact,哪一页包含参数值 0 mm？,Which page contains the specification value 0 mm?,fact_number_unit,Pose teaching,961,16.119999999999997
auto_00035,fr3_operating_manual,33,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,Guiding Mode,1069,16.16
auto_00036,fr3_operating_manual,33,layout,哪一页展示了“Guiding Mode”的图示页面？,Which page visually presents 'Guiding Mode'?,layout_heading,Guiding Mode,1069,16.16
auto_00037,fr3_operating_manual,35,generic,哪一页讨论了“Do not guide the Arm when locked.”？,Which page discusses 'Do not guide the Arm when locked.'?,generic_heading,Do not guide the Arm when locked.,1545,15.56
auto_00038,fr3_operating_manual,35,generic,哪一页包含这一主题的说明内容？,Which page contains information about this topic?,generic_topic,Do not guide the Arm when locked.,1545,15.56
auto_00039,fr3_operating_manual,37,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,FRANKA UI,1068,15.48
auto_00040,fr3_operating_manual,37,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,FRANKA UI,1068,15.48
auto_00041,fr3_operating_manual,37,fact,哪一页包含参数值 1 s？,Which page contains the specification value 1 s?,fact_number_unit,FRANKA UI,1068,15.48
auto_00042,fr3_operating_manual,38,semantic,哪一页介绍了状态说明相关内容？,Which page describes status related information?,semantic_keyword,FRANKA UI,1329,15.56
auto_00043,fr3_operating_manual,38,semantic,这页主要讲的是哪方面的状态说明内容？,What status topic is mainly explained on this page?,semantic_topic,FRANKA UI,1329,15.56
auto_00044,fr3_operating_manual,39,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,FRANKA UI,1327,17.04
auto_00045,fr3_operating_manual,39,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,FRANKA UI,1327,17.04
auto_00046,fr3_operating_manual,40,generic,哪一页讨论了“FRANKA UI”？,Which page discusses 'FRANKA UI'?,generic_heading,FRANKA UI,1491,17.119999999999997
auto_00047,fr3_operating_manual,40,generic,哪一页包含这一主题的说明内容？,Which page contains information about this topic?,generic_topic,FRANKA UI,1491,17.119999999999997
auto_00048,fr3_operating_manual,41,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,FRANKA UI,926,15.2
auto_00049,fr3_operating_manual,41,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,FRANKA UI,926,15.2
auto_00050,fr3_operating_manual,42,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,FRANKA UI,1338,18.0
auto_00051,fr3_operating_manual,42,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,FRANKA UI,1338,18.0
auto_00052,fr3_operating_manual,43,semantic,哪一页介绍了安装说明相关内容？,Which page describes installation related information?,semantic_keyword,FRANKA UI,1016,16.32
auto_00053,fr3_operating_manual,43,semantic,这页主要讲的是哪方面的安装说明内容？,What installation topic is mainly explained on this page?,semantic_topic,FRANKA UI,1016,16.32
auto_00054,fr3_operating_manual,45,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,ROLES AND PERSONNEL,1570,16.799999999999997
auto_00055,fr3_operating_manual,45,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,ROLES AND PERSONNEL,1570,16.799999999999997
auto_00056,fr3_operating_manual,49,semantic,哪一页介绍了安装说明相关内容？,Which page describes installation related information?,semantic_keyword,MANAGINGFRANKARESEARCH3,1914,17.2
auto_00057,fr3_operating_manual,49,semantic,这页主要讲的是哪方面的安装说明内容？,What installation topic is mainly explained on this page?,semantic_topic,MANAGINGFRANKARESEARCH3,1914,17.2
auto_00058,fr3_operating_manual,51,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,MANAGINGFRANKARESEARCH 3,1500,17.36
auto_00059,fr3_operating_manual,51,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,MANAGINGFRANKARESEARCH 3,1500,17.36
auto_00060,fr3_operating_manual,51,fact,哪一页介绍了“MANAGINGFRANKARESEARCH 3”相关内容？,Which page discusses 'MANAGINGFRANKARESEARCH 3'?,fact_heading,MANAGINGFRANKARESEARCH 3,1500,17.36
auto_00061,fr3_operating_manual,53,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,9 TROUBLESHOOTING,2287,17.2
auto_00062,fr3_operating_manual,53,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,9 TROUBLESHOOTING,2287,17.2
auto_00063,fr3_operating_manual,60,generic,哪一页讨论了“The robot can now be used again.”？,Which page discusses 'The robot can now be used again.'?,generic_heading,The robot can now be used again.,2520,17.2
auto_00064,fr3_operating_manual,60,generic,哪一页包含这一主题的说明内容？,Which page contains information about this topic?,generic_topic,The robot can now be used again.,2520,17.2
auto_00065,fr3_operating_manual,61,layout,哪一页包含结构/原理示意图？,Which page contains the schematic diagram?,layout_schematic,9.1.10,1425,16.88
auto_00066,fr3_operating_manual,61,layout,哪一页展示了“9.1.10”的图示页面？,Which page visually presents '9.1.10'?,layout_heading,9.1.10,1425,16.88
auto_00067,fr3_operating_manual,62,fact,这页中关于力矩的参数是什么？,What specification about torque is given on this page?,fact_keyword,Estimation of externally applied torques and forces.,2185,16.08
auto_00068,fr3_operating_manual,62,fact,哪一页提到了力矩相关参数？,Which page mentions torque related specifications?,fact_page_lookup,Estimation of externally applied torques and forces.,2185,16.08
auto_00069,fr3_operating_manual,62,fact,哪一页介绍了“Estimation of externally applied torques”相关内容？,Which page discusses 'Estimation of externally applied torques'?,fact_heading,Estimation of externally applied torques and forces.,2185,16.08
auto_00070,fr3_operating_manual,67,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,10.3.3,1440,17.2
auto_00071,fr3_operating_manual,67,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,10.3.3,1440,17.2
auto_00072,fr3_operating_manual,67,fact,哪一页介绍了“10.3.3”相关内容？,Which page discusses '10.3.3'?,fact_heading,10.3.3,1440,17.2
auto_00073,fr3_operating_manual,69,semantic,哪一页介绍了安装说明相关内容？,Which page describes installation related information?,semantic_keyword,"need full ""admin"" rights on your Linux PC.",2276,15.6
auto_00074,fr3_operating_manual,69,semantic,这页主要讲的是哪方面的安装说明内容？,What installation topic is mainly explained on this page?,semantic_topic,"need full ""admin"" rights on your Linux PC.",2276,15.6
auto_00075,fr3_operating_manual,76,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,depend on previous operation and ambient temperatures.,2059,16.56
auto_00076,fr3_operating_manual,76,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,depend on previous operation and ambient temperatures.,2059,16.56
auto_00077,fr3_operating_manual,76,fact,哪一页介绍了“depend on previous operation and ambient”相关内容？,Which page discusses 'depend on previous operation and ambient'?,fact_heading,depend on previous operation and ambient temperatures.,2059,16.56
auto_00078,fr3_operating_manual,78,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,Safe End Effector Power,2151,18.53
auto_00079,fr3_operating_manual,78,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,Safe End Effector Power,2151,18.53
auto_00080,fr3_operating_manual,79,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,Category O stop,2080,16.299999999999997
auto_00081,fr3_operating_manual,79,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,Category O stop,2080,16.299999999999997
auto_00082,fr3_operating_manual,80,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,The operator can perform all other recoveries.,2053,17.599999999999998
auto_00083,fr3_operating_manual,80,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,The operator can perform all other recoveries.,2053,17.599999999999998
auto_00084,fr3_operating_manual,81,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,for validations,2487,15.84
auto_00085,fr3_operating_manual,81,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,for validations,2487,15.84
auto_00086,fr3_operating_manual,83,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,Safe activation signal: External Enabling Device (X4).,1956,15.52
auto_00087,fr3_operating_manual,83,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,Safe activation signal: External Enabling Device (X4).,1956,15.52
auto_00088,fr3_operating_manual,86,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,Languape,1671,15.2
auto_00089,fr3_operating_manual,86,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,Languape,1671,15.2
auto_00090,fr3_operating_manual,88,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,12.3.1,1274,16.25
auto_00091,fr3_operating_manual,88,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,12.3.1,1274,16.25
auto_00092,fr3_operating_manual,89,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,Robot,1449,15.6
auto_00093,fr3_operating_manual,89,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,Robot,1449,15.6
auto_00094,fr3_operating_manual,91,semantic,哪一页介绍了安装说明相关内容？,Which page describes installation related information?,semantic_keyword,12.3.3,2404,17.7
auto_00095,fr3_operating_manual,91,semantic,这页主要讲的是哪方面的安装说明内容？,What installation topic is mainly explained on this page?,semantic_topic,12.3.3,2404,17.7
auto_00096,fr3_operating_manual,92,layout,哪一页包含尺寸图或尺寸示意？,Which page contains the dimensions diagram?,layout_dimensions,Description: Free editable description of the end effector,1913,16.959999999999997
auto_00097,fr3_operating_manual,92,layout,哪一页展示了“Description: Free editable description o”的图示页面？,Which page visually presents 'Description: Free editable description o'?,layout_heading,Description: Free editable description of the end effector,1913,16.959999999999997
auto_00098,fr3_operating_manual,96,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,possible.,2066,16.0
auto_00099,fr3_operating_manual,96,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,possible.,2066,16.0
auto_00100,fr3_operating_manual,96,fact,哪一页介绍了“possible.”相关内容？,Which page discusses 'possible.'?,fact_heading,possible.,2066,16.0
auto_00101,fr3_operating_manual,100,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,Auto Cell #3 - IP 0.193,2074,15.8
auto_00102,fr3_operating_manual,100,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,Auto Cell #3 - IP 0.193,2074,15.8
auto_00103,fr3_operating_manual,102,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,now displayed in green and shows the validated state.,1914,16.4
auto_00104,fr3_operating_manual,102,layout,哪一页展示了“now displayed in green and shows the val”的图示页面？,Which page visually presents 'now displayed in green and shows the val'?,layout_heading,now displayed in green and shows the validated state.,1914,16.4
auto_00105,fr3_operating_manual,103,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,13.2 LED Activation Behavior,1381,17.2
auto_00106,fr3_operating_manual,103,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,13.2 LED Activation Behavior,1381,17.2
auto_00107,fr3_operating_manual,107,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,SERVICE AND SUPPORT,2166,16.88
auto_00108,fr3_operating_manual,107,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,SERVICE AND SUPPORT,2166,16.88
auto_00109,fr3_operating_manual,107,fact,哪一页介绍了“SERVICE AND SUPPORT”相关内容？,Which page discusses 'SERVICE AND SUPPORT'?,fact_heading,SERVICE AND SUPPORT,2166,16.88
auto_00110,fr3_operating_manual,110,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,SERVICE AND SUPPORT,2146,16.16
auto_00111,fr3_operating_manual,110,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,SERVICE AND SUPPORT,2146,16.16
auto_00112,fr3_operating_manual,117,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,INDEX,881,15.7
auto_00113,fr3_operating_manual,117,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,INDEX,881,15.7
auto_00114,fr3_operating_manual,119,layout,哪一页包含结构/原理示意图？,Which page contains the schematic diagram?,layout_schematic,INDEX,1398,15.7
auto_00115,fr3_operating_manual,119,layout,哪一页展示了“INDEX”的图示页面？,Which page visually presents 'INDEX'?,layout_heading,INDEX,1398,15.7
auto_00116,fr3_product_manual,3,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,10.2,1259,17.2
auto_00117,fr3_product_manual,3,layout,哪一页展示了“10.2”的图示页面？,Which page visually presents '10.2'?,layout_heading,10.2,1259,17.2
auto_00118,fr3_product_manual,4,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,12.4.1,1066,17.2
auto_00119,fr3_product_manual,4,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,12.4.1,1066,17.2
auto_00120,fr3_product_manual,6,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,ABOUT FRANKA ROBOTICS,1673,15.84
auto_00121,fr3_product_manual,6,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,ABOUT FRANKA ROBOTICS,1673,15.84
auto_00122,fr3_product_manual,6,fact,哪一页介绍了“ABOUT FRANKA ROBOTICS”相关内容？,Which page discusses 'ABOUT FRANKA ROBOTICS'?,fact_heading,ABOUT FRANKA ROBOTICS,1673,15.84
auto_00123,fr3_product_manual,18,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,DANGER,1799,16.16
auto_00124,fr3_product_manual,18,layout,哪一页展示了“DANGER”的图示页面？,Which page visually presents 'DANGER'?,layout_heading,DANGER,1799,16.16
auto_00125,fr3_product_manual,20,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,Unexpected motion,1927,16.72
auto_00126,fr3_product_manual,20,layout,哪一页展示了“Unexpected motion”的图示页面？,Which page visually presents 'Unexpected motion'?,layout_heading,Unexpected motion,1927,16.72
auto_00127,fr3_product_manual,21,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,Unexpected movement of Arm,1844,17.4
auto_00128,fr3_product_manual,21,layout,哪一页展示了“Unexpected movement of Arm”的图示页面？,Which page visually presents 'Unexpected movement of Arm'?,layout_heading,Unexpected movement of Arm,1844,17.4
auto_00129,fr3_product_manual,22,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,SAFETY-,1370,17.28
auto_00130,fr3_product_manual,22,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,SAFETY-,1370,17.28
auto_00131,fr3_product_manual,22,fact,哪一页介绍了“SAFETY-”相关内容？,Which page discusses 'SAFETY-'?,fact_heading,SAFETY-,1370,17.28
auto_00132,fr3_product_manual,23,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,Stopping time and distance,1968,15.92
auto_00133,fr3_product_manual,23,layout,哪一页展示了“Stopping time and distance”的图示页面？,Which page visually presents 'Stopping time and distance'?,layout_heading,Stopping time and distance,1968,15.92
auto_00134,fr3_product_manual,24,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,Falling heavy Arm when using Emergency Unlocking Tool,1068,15.92
auto_00135,fr3_product_manual,24,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,Falling heavy Arm when using Emergency Unlocking Tool,1068,15.92
auto_00136,fr3_product_manual,28,fact,这页中关于最大工作半径的参数是什么？,What specification about reach is given on this page?,fact_keyword,4.11 Safety Functionalities,2426,17.4
auto_00137,fr3_product_manual,28,fact,哪一页提到了最大工作半径相关参数？,Which page mentions reach related specifications?,fact_page_lookup,4.11 Safety Functionalities,2426,17.4
auto_00138,fr3_product_manual,28,fact,哪一页包含参数值 1 A？,Which page contains the specification value 1 A?,fact_number_unit,4.11 Safety Functionalities,2426,17.4
auto_00139,fr3_product_manual,29,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,Monitoring functions,2399,17.16
auto_00140,fr3_product_manual,29,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,Monitoring functions,2399,17.16
auto_00141,fr3_product_manual,30,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,Name,2478,17.490000000000002
auto_00142,fr3_product_manual,30,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,Name,2478,17.490000000000002
auto_00143,fr3_product_manual,36,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,ROLES AND PERSONnel,2184,16.0
auto_00144,fr3_product_manual,36,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,ROLES AND PERSONnel,2184,16.0
auto_00145,fr3_product_manual,39,semantic,哪一页介绍了组成部件相关内容？,Which page describes components related information?,semantic_keyword,Equipment Overview,258,15.76
auto_00146,fr3_product_manual,39,semantic,这页主要讲的是哪方面的组成部件内容？,What components topic is mainly explained on this page?,semantic_topic,Equipment Overview,258,15.76
auto_00147,fr3_product_manual,43,semantic,哪一页介绍了状态说明相关内容？,Which page describes status related information?,semantic_keyword,Equipment Overview,728,16.439999999999998
auto_00148,fr3_product_manual,43,semantic,这页主要讲的是哪方面的状态说明内容？,What status topic is mainly explained on this page?,semantic_topic,Equipment Overview,728,16.439999999999998
auto_00149,fr3_product_manual,44,semantic,哪一页介绍了安全说明相关内容？,Which page describes safety related information?,semantic_keyword,Equipment Overview,1627,16.96
auto_00150,fr3_product_manual,44,semantic,这页主要讲的是哪方面的安全说明内容？,What safety topic is mainly explained on this page?,semantic_topic,Equipment Overview,1627,16.96
auto_00151,fr3_product_manual,45,layout,哪一页包含尺寸图或尺寸示意？,Which page contains the dimensions diagram?,layout_dimensions,Equipment Overview,836,19.88
auto_00152,fr3_product_manual,45,layout,哪一页展示了“Equipment Overview”的图示页面？,Which page visually presents 'Equipment Overview'?,layout_heading,Equipment Overview,836,19.88
auto_00153,fr3_product_manual,48,fact,这页中关于力矩的参数是什么？,What specification about torque is given on this page?,fact_keyword,Scope of Delivery and Additional Equipment,1525,19.56
auto_00154,fr3_product_manual,48,fact,哪一页提到了力矩相关参数？,Which page mentions torque related specifications?,fact_page_lookup,Scope of Delivery and Additional Equipment,1525,19.56
auto_00155,fr3_product_manual,48,fact,哪一页包含参数值 6 mm？,Which page contains the specification value 6 mm?,fact_number_unit,Scope of Delivery and Additional Equipment,1525,19.56
auto_00156,fr3_product_manual,49,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,TECHNICAL SPECIFICATIONS,1992,23.6
auto_00157,fr3_product_manual,49,layout,哪一页包含 7 自由度相关尺寸图？,Which page contains the 7 DoF dimensions figure?,layout_7dof,TECHNICAL SPECIFICATIONS,1992,23.6
auto_00158,fr3_product_manual,49,layout,哪一页展示了“TECHNICAL SPECIFICATIONS”的图示页面？,Which page visually presents 'TECHNICAL SPECIFICATIONS'?,layout_heading,TECHNICAL SPECIFICATIONS,1992,23.6
auto_00159,fr3_product_manual,50,fact,这页中关于接口的参数是什么？,What specification about interface is given on this page?,fact_keyword,TECHNICAL SPECIFICATIONS,1675,20.03
auto_00160,fr3_product_manual,50,fact,哪一页提到了接口相关参数？,Which page mentions interface related specifications?,fact_page_lookup,TECHNICAL SPECIFICATIONS,1675,20.03
auto_00161,fr3_product_manual,50,fact,哪一页包含参数值 50mm？,Which page contains the specification value 50mm?,fact_number_unit,TECHNICAL SPECIFICATIONS,1675,20.03
auto_00162,fr3_product_manual,51,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,TECHNICAL SPECIFICATIONS,310,16.64
auto_00163,fr3_product_manual,51,layout,哪一页包含尺寸图或尺寸示意？,Which page contains the dimensions diagram?,layout_dimensions,TECHNICAL SPECIFICATIONS,310,16.64
auto_00164,fr3_product_manual,51,layout,哪一页展示了“TECHNICAL SPECIFICATIONS”的图示页面？,Which page visually presents 'TECHNICAL SPECIFICATIONS'?,layout_heading,TECHNICAL SPECIFICATIONS,310,16.64
auto_00165,fr3_product_manual,53,layout,哪一页是工作空间示意图页面？,Which page shows the workspace diagram?,layout_workspace,TRANSPORT AND HANDLING,1514,16.0
auto_00166,fr3_product_manual,53,layout,哪一页展示了“TRANSPORT AND HANDLING”的图示页面？,Which page visually presents 'TRANSPORT AND HANDLING'?,layout_heading,TRANSPORT AND HANDLING,1514,16.0
auto_00167,fr3_product_manual,54,generic,哪一页讨论了“TRANSPORT AND HANDLING”？,Which page discusses 'TRANSPORT AND HANDLING'?,generic_heading,TRANSPORT AND HANDLING,942,17.08
auto_00168,fr3_product_manual,54,generic,哪一页包含这一主题的说明内容？,Which page contains information about this topic?,generic_topic,TRANSPORT AND HANDLING,942,17.08
