sample_id,query_id,query_en,query_zh,query_type,pos_doc_id,pos_page_idx,pos_image_path,neg_doc_id,neg_page_idx,neg_image_path,neg_source
auto_00097_adjacent_prev,auto_00097,Which page visually presents 'Description: Free editable description o'?,哪一页展示了“Description: Free editable description o”的图示页面？,layout,fr3_operating_manual,92,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0092.png,fr3_operating_manual,91,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0091.png,adjacent_prev
auto_00097_same_doc_far,auto_00097,Which page visually presents 'Description: Free editable description o'?,哪一页展示了“Description: Free editable description o”的图示页面？,layout,fr3_operating_manual,92,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0092.png,fr3_operating_manual,0,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0000.png,same_doc_far
auto_00104_bm25,auto_00104,Which page visually presents 'now displayed in green and shows the val'?,哪一页展示了“now displayed in green and shows the val”的图示页面？,layout,fr3_operating_manual,102,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0102.png,fr3_product_manual,123,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0123.png,bm25_hard
auto_00104_adjacent_prev,auto_00104,Which page visually presents 'now displayed in green and shows the val'?,哪一页展示了“now displayed in green and shows the val”的图示页面？,layout,fr3_operating_manual,102,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0102.png,fr3_operating_manual,101,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0101.png,adjacent_prev
auto_00104_same_doc_far,auto_00104,Which page visually presents 'now displayed in green and shows the val'?,哪一页展示了“now displayed in green and shows the val”的图示页面？,layout,fr3_operating_manual,102,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0102.png,fr3_operating_manual,0,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0000.png,same_doc_far
auto_00109_bm25,auto_00109,Which page discusses 'SERVICE AND SUPPORT'?,哪一页介绍了“SERVICE AND SUPPORT”相关内容？,fact,fr3_operating_manual,107,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0107.png,fr3_product_manual,172,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0172.png,bm25_hard
auto_00109_adjacent_prev,auto_00109,Which page discusses 'SERVICE AND SUPPORT'?,哪一页介绍了“SERVICE AND SUPPORT”相关内容？,fact,fr3_operating_manual,107,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0107.png,fr3_operating_manual,106,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0106.png,adjacent_prev
auto_00109_same_doc_far,auto_00109,Which page discusses 'SERVICE AND SUPPORT'?,哪一页介绍了“SERVICE AND SUPPORT”相关内容？,fact,fr3_operating_manual,107,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0107.png,fr3_operating_manual,0,/users/xyk/robotdoc-rag/data/pages/fr3_operating_manual/page_0000.png,same_doc_far
auto_00116_bm25,auto_00116,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,3,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0003.png,kinova_gen3_user_guide,152,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0152.png,bm25_hard
auto_00116_adjacent_prev,auto_00116,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,3,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0003.png,fr3_product_manual,2,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0002.png,adjacent_prev
auto_00116_same_doc_far,auto_00116,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,3,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0003.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00117_bm25,auto_00117,Which page visually presents '10.2'?,哪一页展示了“10.2”的图示页面？,layout,fr3_product_manual,3,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0003.png,robotiq_2f_manual,102,/users/xyk/robotdoc-rag/data/pages/robotiq_2f_manual/page_0102.png,bm25_hard
auto_00117_adjacent_prev,auto_00117,Which page visually presents '10.2'?,哪一页展示了“10.2”的图示页面？,layout,fr3_product_manual,3,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0003.png,fr3_product_manual,2,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0002.png,adjacent_prev
auto_00117_same_doc_far,auto_00117,Which page visually presents '10.2'?,哪一页展示了“10.2”的图示页面？,layout,fr3_product_manual,3,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0003.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00121_bm25,auto_00121,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,6,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0006.png,fr3_product_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0051.png,bm25_hard
auto_00121_adjacent_prev,auto_00121,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,6,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0006.png,fr3_product_manual,5,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0005.png,adjacent_prev
auto_00121_same_doc_far,auto_00121,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,6,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0006.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00123_bm25,auto_00123,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,18,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0018.png,kinova_gen3_user_guide,152,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0152.png,bm25_hard
auto_00123_adjacent_prev,auto_00123,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,18,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0018.png,fr3_product_manual,17,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0017.png,adjacent_prev
auto_00123_same_doc_far,auto_00123,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,18,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0018.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00124_bm25,auto_00124,Which page visually presents 'DANGER'?,哪一页展示了“DANGER”的图示页面？,layout,fr3_product_manual,18,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0018.png,robotiq_2f_manual,102,/users/xyk/robotdoc-rag/data/pages/robotiq_2f_manual/page_0102.png,bm25_hard
auto_00124_adjacent_prev,auto_00124,Which page visually presents 'DANGER'?,哪一页展示了“DANGER”的图示页面？,layout,fr3_product_manual,18,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0018.png,fr3_product_manual,17,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0017.png,adjacent_prev
auto_00124_same_doc_far,auto_00124,Which page visually presents 'DANGER'?,哪一页展示了“DANGER”的图示页面？,layout,fr3_product_manual,18,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0018.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00125_bm25,auto_00125,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,kinova_gen3_user_guide,152,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0152.png,bm25_hard
auto_00125_adjacent_prev,auto_00125,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,fr3_product_manual,19,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0019.png,adjacent_prev
auto_00125_same_doc_far,auto_00125,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00126_bm25,auto_00126,Which page visually presents 'Unexpected motion'?,哪一页展示了“Unexpected motion”的图示页面？,layout,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,robotiq_2f_manual,102,/users/xyk/robotdoc-rag/data/pages/robotiq_2f_manual/page_0102.png,bm25_hard
auto_00126_adjacent_prev,auto_00126,Which page visually presents 'Unexpected motion'?,哪一页展示了“Unexpected motion”的图示页面？,layout,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,fr3_product_manual,19,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0019.png,adjacent_prev
auto_00126_same_doc_far,auto_00126,Which page visually presents 'Unexpected motion'?,哪一页展示了“Unexpected motion”的图示页面？,layout,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00127_bm25,auto_00127,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,kinova_gen3_user_guide,152,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0152.png,bm25_hard
auto_00127_adjacent_prev,auto_00127,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,adjacent_prev
auto_00127_same_doc_far,auto_00127,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00128_bm25,auto_00128,Which page visually presents 'Unexpected movement of Arm'?,哪一页展示了“Unexpected movement of Arm”的图示页面？,layout,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,ur5e_user_manual,35,/users/xyk/robotdoc-rag/data/pages/ur5e_user_manual/page_0035.png,bm25_hard
auto_00128_adjacent_prev,auto_00128,Which page visually presents 'Unexpected movement of Arm'?,哪一页展示了“Unexpected movement of Arm”的图示页面？,layout,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,fr3_product_manual,20,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0020.png,adjacent_prev
auto_00128_same_doc_far,auto_00128,Which page visually presents 'Unexpected movement of Arm'?,哪一页展示了“Unexpected movement of Arm”的图示页面？,layout,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00130_bm25,auto_00130,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,22,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0022.png,fr3_product_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0051.png,bm25_hard
auto_00130_adjacent_prev,auto_00130,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,22,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0022.png,fr3_product_manual,21,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0021.png,adjacent_prev
auto_00130_same_doc_far,auto_00130,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,22,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0022.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00132_bm25,auto_00132,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,23,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0023.png,kinova_gen3_user_guide,152,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0152.png,bm25_hard
auto_00132_adjacent_prev,auto_00132,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,23,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0023.png,fr3_product_manual,22,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0022.png,adjacent_prev
auto_00132_same_doc_far,auto_00132,Which page shows the workspace diagram?,哪一页是工作空间示意图页面？,layout,fr3_product_manual,23,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0023.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00133_bm25,auto_00133,Which page visually presents 'Stopping time and distance'?,哪一页展示了“Stopping time and distance”的图示页面？,layout,fr3_product_manual,23,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0023.png,fr3_product_manual,201,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0201.png,bm25_hard
auto_00133_adjacent_prev,auto_00133,Which page visually presents 'Stopping time and distance'?,哪一页展示了“Stopping time and distance”的图示页面？,layout,fr3_product_manual,23,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0023.png,fr3_product_manual,22,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0022.png,adjacent_prev
auto_00133_same_doc_far,auto_00133,Which page visually presents 'Stopping time and distance'?,哪一页展示了“Stopping time and distance”的图示页面？,layout,fr3_product_manual,23,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0023.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00137_bm25,auto_00137,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,28,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0028.png,fr3_product_manual,51,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0051.png,bm25_hard
auto_00137_adjacent_prev,auto_00137,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,28,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0028.png,fr3_product_manual,27,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0027.png,adjacent_prev
auto_00137_same_doc_far,auto_00137,Which page mentions reach related specifications?,哪一页提到了最大工作半径相关参数？,fact,fr3_product_manual,28,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0028.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00146_bm25,auto_00146,What components topic is mainly explained on this page?,这页主要讲的是哪方面的组成部件内容？,semantic,fr3_product_manual,39,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0039.png,kinova_gen3_user_guide,188,/users/xyk/robotdoc-rag/data/pages/kinova_gen3_user_guide/page_0188.png,bm25_hard
auto_00146_adjacent_prev,auto_00146,What components topic is mainly explained on this page?,这页主要讲的是哪方面的组成部件内容？,semantic,fr3_product_manual,39,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0039.png,fr3_product_manual,38,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0038.png,adjacent_prev
auto_00146_same_doc_far,auto_00146,What components topic is mainly explained on this page?,这页主要讲的是哪方面的组成部件内容？,semantic,fr3_product_manual,39,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0039.png,fr3_product_manual,208,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0208.png,same_doc_far
auto_00152_bm25,auto_00152,Which page visually presents 'Equipment Overview'?,哪一页展示了“Equipment Overview”的图示页面？,layout,fr3_product_manual,45,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0045.png,fr3_product_manual,38,/users/xyk/robotdoc-rag/data/pages/fr3_product_manual/page_0038.png,bm25_hard
